log,template
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),Component State Change: Component <*> is in the unavailable state (HWID=<*>)
boot  (command 1910),boot  (command <*>)
boot  (command 1973),boot  (command <*>)
boot  (command 2152),boot  (command <*>)
boot  (command 2141),boot  (command <*>)
wait  (command 2217),wait  (command <*>)
wait  (command 2217),wait  (command <*>)
boot  (command 2183),boot  (command <*>)
wait  (command 2257),wait  (command <*>)
boot  (command 2316),boot  (command <*>)
boot  (command 2316),boot  (command <*>)
wait  (command 2347),wait  (command <*>)
boot  (command 2368),boot  (command <*>)
boot  (command 2392),boot  (command <*>)
boot  (command 2417),boot  (command <*>)
boot  (command 2423),boot  (command <*>)
wait  (command 2424),wait  (command <*>)
wait  (command 2449),wait  (command <*>)
boot  (command 2464),boot  (command <*>)
wait  (command 2468),wait  (command <*>)
boot  (command 2520),boot  (command <*>)
wait  (command 2517),wait  (command <*>)
boot  (command 2517),boot  (command <*>)
wait  (command 2511),wait  (command <*>)
wait  (command 2513),wait  (command <*>)
boot  (command 2514),boot  (command <*>)
boot  (command 2625),boot  (command <*>)
boot  (command 2616),boot  (command <*>)
boot  (command 2619),boot  (command <*>)
boot  (command 2616),boot  (command <*>)
boot  (command 2616),boot  (command <*>)
wait  (command 2582),wait  (command <*>)
boot  (command 2584),boot  (command <*>)
wait  (command 2549),wait  (command <*>)
boot  (command 2548),boot  (command <*>)
boot  (command 2538),boot  (command <*>)
wait  (command 2683),wait  (command <*>)
boot  (command 2686),boot  (command <*>)
wait  (command 2682),wait  (command <*>)
wait  (command 2763),wait  (command <*>)
wait  (command 2817),wait  (command <*>)
wait  (command 2823),wait  (command <*>)
wait  (command 2817),wait  (command <*>)
wait  (command 2900),wait  (command <*>)
wait  (command 2885),wait  (command <*>)
wait  (command 2909),wait  (command <*>)
boot  (command 2960),boot  (command <*>)
wait  (command 3087),wait  (command <*>)
wait  (command 3078),wait  (command <*>)
boot  (command 3169),boot  (command <*>)
boot  (command 3320),boot  (command <*>)
boot  (command 3318),boot  (command <*>)
boot  (command 3317),boot  (command <*>)
wait  (command 3319),wait  (command <*>)
boot  (command 3334),boot  (command <*>)
wait  (command 3412),wait  (command <*>)
boot  (command 3413),boot  (command <*>)
wait  (command 3523),wait  (command <*>)
wait  (command 3525),wait  (command <*>)
wait  (command 3519),wait  (command <*>)
boot  (command 3519),boot  (command <*>)
boot  (command 3579),boot  (command <*>)
boot  (command 3572),boot  (command <*>)
boot  (command 3580),boot  (command <*>)
wait  (command 3612),wait  (command <*>)
boot  (command 3624),boot  (command <*>)
boot  (command 3639),boot  (command <*>)
wait  (command 3698),wait  (command <*>)
wait  (command 3847),wait  (command <*>)
boot  (command 3928),boot  (command <*>)
boot  (command 3964),boot  (command <*>)
wait  (command 3973),wait  (command <*>)
wait  (command 3981),wait  (command <*>)
wait  (command 4061),wait  (command <*>)
wait  (command 4116),wait  (command <*>)
wait  (command 4117),wait  (command <*>)
boot  (command 4176),boot  (command <*>)
wait  (command 4176),wait  (command <*>)
wait  (command 4221),wait  (command <*>)
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
Command has completed successfully,Command has completed successfully
psu failure\ ambient=28,psu failure\ ambient=<*>
psu failure\ ambient=28,psu failure\ ambient=<*>
psu failure\ ambient=28,psu failure\ ambient=<*>
Temperature (41C) exceeds warning threshold,Temperature (<*>C) exceeds warning threshold
ClusterFileSystem: There is no server for ServerFileSystem domain storage1412,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1231,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage934,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1144,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage141,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1622,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1612,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1622,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1542,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1331,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage742,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage221,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
