log,template
Registering class org.apache.hadoop.mapreduce.v2.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v2.app.MRAppMaster$TaskEventDispatcher,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>]
Default file system [hdfs://msra-sa-41:9000],Default file system [hdfs://<*>:<*>]
Starting Socket Reader #1 for port 62260,Starting Socket Reader #<*> for port <*>
Using callQueue class java.util.concurrent.LinkedBlockingQueue,Using callQueue class java.util.concurrent.LinkedBlockingQueue
IPC Server listener on 62270: starting,IPC Server listener on <*>: starting
IPC Server Responder: starting,IPC Server Responder: starting
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000000 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000001 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000003 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000004 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000005 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000006 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000007 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000008 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
Resolved MSRA-SA-39.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
Resolved MSRA-SA-41.fareast.corp.microsoft.com to /default-rack,Resolved <*> to /default-rack
task_1445144423722_0020_m_000009 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
task_1445144423722_0020_r_000000 Task Transitioned from NEW to SCHEDULED,task_<*> Task Transitioned from NEW to SCHEDULED
attempt_1445144423722_0020_m_000000_0 TaskAttempt Transitioned from NEW to UNASSIGNED,attempt_<*> TaskAttempt Transitioned from NEW to UNASSIGNED
